distance (mi),altitude (ft)
23.932,7533.8
23.95,7528
23.955,7525.4
23.966,7513.6
23.985,7505.9
24.005,7495.2
24.024,7483.3
24.033,7471.8
24.045,7456.5
24.057,7447.9
24.067,7448.5
24.084,7443.6
24.094,7439.3
24.102,7434
24.117,7434.9
24.135,7415.9
24.142,7416.6
24.15,7421.2
24.167,7425.4
24.189,7427.7
24.2,7434.3
24.216,7430.3
24.234,7408.2
24.26,7391.2
24.291,7365.9
24.311,7349.1
24.329,7334
24.334,7328.8
24.347,7327
24.351,7328.8
24.358,7323.3
24.372,7325
24.388,7315.7
24.398,7313.9
24.406,7296.4
24.422,7258.3
24.435,7263.1
24.448,7252.5
24.456,7253
24.462,7263.3
24.48,7254.8
24.492,7253.9
24.51,7245.2
24.523,7234
24.535,7218.1
24.551,7179.8
24.561,7164.7
24.571,7141.1
24.585,7107.8
24.601,7087.6
24.614,7077.4
24.626,7070.9
24.641,7073.5
24.655,7082.3
24.664,7104.5
24.669,7109.9
24.677,7116.3
24.682,7128.6
24.686,7144.6
24.701,7149.8
24.712,7151.9
24.732,7139
24.752,7150
24.772,7151.6
24.781,7152.4
24.79,7159.9
24.803,7169.3
24.815,7153
24.829,7130.7
24.84,7123.1
24.846,7103.2
24.856,7077.3
24.861,7082.3
24.873,7084.8
24.877,7080.6
24.88,7087.6
24.882,7085
24.887,7067.1
24.89,7060.7
24.896,7073
24.905,7068.7
24.917,7041.3
24.929,7057
24.939,7046.3
24.951,7030.6
24.956,7030.1
24.97,7034.7
24.986,7018.4
24.996,6978.2
25.001,6994.5
25.01,7008.7
25.021,6994.8
25.037,6974.5
25.05,6953.2
25.056,6949.3
25.06,6960.4
25.067,6971.6
25.078,6961.5
25.093,6927.7
25.112,6872.5
25.122,6836.5
25.138,6794.1
25.149,6753.8
25.158,6771.4
25.167,6793.6
25.18,6814.4
25.194,6821.6
25.217,6801.3
25.233,6774.7
25.245,6737.1
25.258,6721.7
25.272,6742.3
25.287,6726.9
25.294,6709.4
25.299,6714.7
25.306,6721.4
25.328,6697.6
25.35,6661.1
25.366,6688.5
25.375,6677.7
25.389,6667.8
25.402,6660.8
25.418,6652.9
25.432,6636.9
25.443,6611.1
25.455,6598.8
25.462,6592.1
25.468,6605.2
25.473,6600.3
25.483,6597.8
25.5,6582.8
25.514,6560.1
25.52,6553.6
25.527,6557.9
25.537,6564
25.545,6557
25.557,6536
25.567,6546.3
25.576,6553.4
25.589,6522.9
25.601,6500.1
25.607,6496.6
25.623,6496.9
25.63,6492.7
25.647,6468.8
25.656,6451.4
25.664,6442.6
25.671,6427.2
25.674,6425.1
25.683,6428
25.692,6424.5
25.71,6422.5
25.724,6399.1
25.733,6377.5
25.742,6370.4
25.75,6379.9
25.758,6361.9
25.764,6337
25.774,6290.9
25.778,6275.2
25.781,6283
25.789,6303.8
25.793,6291.8
25.806,6248.2
25.823,6262.5
25.828,6246.8
25.839,6211.3
25.847,6214.2
25.855,6216.1
25.865,6198.2
25.876,6210.7
25.889,6193.4
25.899,6186.3
25.914,6187.8
25.931,6167.1
25.937,6152.8
25.948,6144.1
25.96,6123.2
25.978,6105.2
25.988,6084.4
26.001,6030.6
26.01,5993.9
26.016,5961.2
26.02,5976.4
26.03,5995.8
26.049,6012.3
26.071,6041.1
26.085,6005
26.095,5972.4
26.11,5920.8
26.118,5887.1
26.129,5870.5
26.148,5857.6
26.169,5862.3
26.195,5871.9
26.198,5855.5
26.212,5827.6
26.228,5795.4
26.243,5762.4
26.256,5742.7
26.272,5730.2
26.276,5717.9
26.282,5722.4
26.287,5719.4
26.301,5702.4
26.313,5706.7
26.326,5708.9
26.344,5694.9
26.374,5706.6
26.395,5695.6
26.416,5667.8
26.44,5651.7
26.453,5632.3
26.475,5618
26.485,5604.9
26.502,5591.9
26.526,5559.2
26.551,5544.9
26.564,5538.1
26.577,5533
26.585,5540.2
26.592,5553.7
26.605,5576.6
26.612,5570
26.619,5551
26.63,5529.3
26.641,5507.1
26.646,5515
26.665,5573.6
26.675,5592.4
26.688,5574
26.7,5580.1
26.715,5586
26.725,5609.4
26.738,5634.7
26.747,5661.4
26.758,5635.4
26.776,5586.1
26.792,5552.1
26.805,5529.1
26.829,5484.8
26.842,5473
26.855,5476.3
26.875,5470.4
26.893,5451.9
26.911,5438.7
26.928,5409.2
26.935,5404.8
26.944,5405
26.949,5405.3
26.96,5399.7
26.972,5407.6
26.976,5408.2
26.983,5406.9
26.992,5399.9
27.005,5392
27.019,5386.6
27.031,5379.3
27.041,5382.1
27.058,5370
27.076,5367.5
27.084,5359.6
27.097,5359.2
27.118,5367.7
27.132,5359.3
27.147,5347.9
27.158,5331.2
27.178,5323.6
27.213,5318.1
27.215,5317.7
27.231,5304.1
27.243,5301.6
27.26,5303.1
27.28,5311.8
27.294,5322.1
27.317,5316.8
27.335,5314.4
27.348,5318.9
27.362,5323.5
27.377,5327.6
27.392,5323.5
27.406,5318.9
27.419,5314.4
27.437,5316.8
27.46,5322.1
27.474,5311.8
27.494,5303.1
27.511,5301.6
27.523,5304.1
27.539,5317.7
27.563,5317.2
27.599,5311.2
27.624,5311.1
27.661,5307.2
27.696,5295.8
27.728,5285.2
27.766,5275.7
27.783,5275.1
27.796,5273.3
27.805,5278.6
27.811,5279.9
27.817,5279.7
27.831,5279.2
27.85,5277.4
27.869,5272.3
27.888,5272.2
27.91,5288.6
27.924,5291
27.941,5284.7
27.971,5273.6
27.994,5263.6
28.022,5261.4
28.043,5261.4
28.074,5265.5
28.098,5263.7
28.124,5257.4
28.136,5251.3
28.154,5252.5
28.174,5251.1
28.19,5253.7
28.211,5252
28.234,5255.3
28.244,5246.4
28.27,5225.3
28.287,5222.9
28.308,5221.7
28.318,5223.5
28.328,5219.2
28.334,5216.8
28.351,5219.3
28.368,5222.9
28.383,5218.4
28.404,5211.8
28.417,5210.8
28.428,5212.2
28.441,5213.7
28.454,5211.7
28.465,5207.3
28.475,5203.2
28.51,5194.6
28.531,5194.4
28.552,5196
28.564,5196.1
28.57,5195.6
28.579,5193.7
28.591,5186.7
28.607,5190.9
28.64,5186.2
28.663,5182.8
28.693,5179.9
28.712,5189.4
28.733,5187.7
28.755,5175.7
28.766,5170.8
28.782,5168
28.794,5169.3
28.814,5171.3
28.839,5170.6
28.856,5163.9
28.869,5158.4
28.893,5153.9
28.911,5151.9
28.937,5150.2
28.968,5146.3
28.98,5146.7
28.998,5151.6
29.013,5153.6
29.021,5157
29.034,5158.3
29.058,5155.2
29.068,5154.5
29.091,5159.6
29.107,5162.9
29.131,5155.4
29.152,5147.9
29.167,5148.3
29.198,5144.9
29.224,5135.2
29.241,5135.9
29.27,5146
29.294,5147.8
29.316,5133
29.339,5123.7
29.351,5113.5
29.361,5109.3
29.367,5109.6
29.398,5108.5
29.417,5108.1
29.45,5109
29.466,5107
29.494,5104.6
29.516,5102.9
29.546,5100.9
29.576,5098.8
29.594,5099.9
29.614,5100.1
29.634,5098.2
29.661,5095
29.682,5095.9
29.702,5087.9
29.721,5081.7
29.738,5076.8
29.759,5077.7
29.78,5075
29.804,5085
29.824,5087.6
29.855,5089.6
29.874,5084.4
29.907,5081.2
29.922,5079.5
29.94,5077.5
29.964,5073.9
29.992,5068.3
30.013,5064
30.038,5057.1
30.051,5057.6
30.067,5056.4
30.08,5054.7
30.104,5057.5
30.113,5056.6
30.14,5058.9
30.167,5058.7
30.182,5059.6
30.194,5059.6
30.209,5050.3
30.218,5041.6
30.231,5031.7
30.242,5021.4
30.255,5024.2
30.266,5029.8
30.286,5038.2
30.307,5038
30.339,5040.4
30.354,5037.8
30.374,5039.5
30.388,5035.6
30.399,5034.2
30.424,5032.8
30.436,5033.7
30.456,5031.4
30.461,5028.2
30.466,5027.5
30.471,5025.7
30.479,5020.4
30.489,5017.9
30.496,5017.3
30.512,5009.5
30.519,5006.3
30.523,5005.6
30.531,5005.5
30.546,5002.7
30.552,5003.3
30.559,5002.5
30.571,5002.3
30.575,5002.7
30.587,5001.6
30.597,4999.7
30.602,4999.4
30.617,4998.4
30.625,4998
30.636,5000.4
30.644,5001.7
30.65,5008.5
30.666,5011.9
30.687,5012.5
30.704,5019.8
30.724,5018.3
30.734,5023.8
30.743,5033.5
30.761,5038.3
30.779,5041.7
30.794,5038.3
30.805,5035.7
30.814,5035.3
30.821,5034.1
30.829,5035.4
30.842,5035.8
30.858,5028.9
30.871,5022.4
30.878,5019.8
30.88,5018.7
30.882,5019.8
30.888,5016.6
30.892,5014.8
30.898,5011.9
30.903,5009.8
30.91,5007.1
30.918,5002.2
30.926,4998.4
30.93,4996.7
30.934,4995.9
30.95,4993.7
30.967,4991.8
30.982,4991.5
30.991,4991.8
31.002,4990.8
31.01,4993.8
31.015,4997.1
31.025,5003.3
31.036,5009.8
31.05,5016.4
31.061,5027.6
31.078,5038.7
31.091,5045.2
31.108,5056.1
31.116,5065.1
31.131,5078.8
31.148,5092.3
31.173,5108.9
31.196,5124.2
31.218,5138.2
31.244,5162.5
31.259,5171.4
31.279,5178.3
31.29,5180.5
31.296,5181.3
31.327,5198.4
31.351,5209.7
31.381,5220.3
31.421,5249.4
31.454,5270.1
31.471,5283.7
31.481,5286.6
31.5,5302.7
31.519,5323.6
31.546,5342.3
31.553,5352.2
31.571,5359.7
31.591,5375.5
31.616,5368.1
31.623,5366.8
31.635,5386.4
31.643,5387.4
31.658,5398
31.674,5402.8
31.683,5403
31.695,5424.3
31.714,5456.2
31.732,5462
31.746,5465.1
31.767,5484.8
31.787,5490.8
31.802,5485.2
31.809,5487.3
31.837,5529.7
31.866,5533.4
31.881,5556.4
31.902,5602.1
31.916,5612.4
31.934,5633.8
31.964,5660.4
31.98,5661.8
32.005,5685.7
32.018,5703.6
32.039,5715.5
32.052,5724.1
32.067,5744.1
32.086,5750.1
32.102,5748.1
32.115,5746.7
32.139,5804.4
32.161,5812.9
32.176,5824.1
32.184,5830.9
32.206,5854.4
32.216,5854.7
32.224,5867.2
32.247,5875
32.273,5891.3
32.296,5920.5
32.307,5953.4
32.318,5948.3
32.343,5957.6
32.365,5989.2
32.383,6003.3
32.405,6031.2
32.428,6032.6
32.438,6025
32.444,6025.7
32.452,6038.1
32.47,6048.2
32.484,6088.1
32.505,6094.4
32.518,6101.7
32.525,6123
32.538,6119.9
32.546,6115.7
32.552,6133.1
32.565,6158.5
32.577,6161.2
32.605,6192.2
32.62,6182.1
32.633,6176.1
32.644,6201.2
32.656,6196.5
32.673,6210.5
32.695,6229.8
32.715,6239.1
32.731,6229.7
32.757,6224.1
32.77,6235.6
32.787,6277.9
32.81,6272.7
32.82,6284.2
32.844,6318
32.869,6326.9
32.883,6340.1
32.914,6379.1
32.934,6407.7
32.949,6426.3
32.958,6436.6
32.97,6454.8
32.979,6457.9
32.989,6466
32.994,6475.8
33.004,6463.7
33.026,6449.6
33.038,6449.3
33.05,6444.7
33.061,6455.1
33.079,6474.3
33.096,6487.9
33.112,6524.6
33.128,6518.7
33.137,6517.9
33.15,6541.4
33.163,6559.4
33.173,6556.5
33.187,6545.3
33.197,6538
33.201,6543
33.217,6560.7
33.236,6568.6
33.246,6569.6
33.255,6573
33.268,6573.5
33.286,6582.3
33.3,6577.1
33.309,6584.6
33.328,6608.4
33.348,6630
33.356,6637
33.365,6619.9
33.38,6624.9
33.389,6631.8
33.402,6619.9
33.41,6623.5
33.418,6636.7
33.43,6668.7
33.449,6704.2
33.466,6699.1
33.482,6691.5
33.492,6689.4
33.507,6717.4
33.53,6741.9
33.555,6774.2
33.571,6795.4
33.576,6803.4
33.583,6805.7
33.597,6802.7
33.606,6794
33.609,6784
33.624,6797.3
33.645,6826.8
33.658,6830.6
33.677,6835.3
33.695,6867
33.706,6888
33.727,6911.4
33.735,6928.4
33.751,6926.8
33.762,6919.8
33.769,6917.2
33.782,6939.7
33.788,6942.9
33.795,6961.3
33.809,6966.9
33.826,6972.3
33.837,6973.3
33.843,6978.2
33.858,6992
33.88,6997.2
33.902,7009
33.917,7008.7
33.934,7013.3
33.946,7013
33.957,7007.2
33.977,6996.2
33.995,6986.5
34.004,6982.8
34.026,6966
34.039,6958.5
34.056,6954.1
34.073,6954.1
34.083,6956.5
34.097,6956.6
34.11,6963.6
34.127,6983.1
34.147,6996.9
34.163,7006
34.173,7008.6
34.185,7013.9
34.194,7014
34.203,7011.5
34.214,7006.3
34.244,6993.2
34.266,6987.1
34.28,6988.1
34.299,6990.1
34.319,6994.7
34.335,6996.2
34.344,6995.4
34.355,6993.1
34.363,6990.5
34.372,6987.4
34.38,6986.7
34.389,6985.2
34.404,6990
34.416,6993.8
34.425,6990.3
34.435,6980.5
34.436,6982.2
34.445,6988.9
34.455,6993.8
34.467,6990
34.482,6985.2
34.491,6986.7
34.498,6987.4
34.508,6990.5
34.516,6993.1
34.527,6995.4
34.536,6996.2
34.551,6994.7
34.572,6990.1
34.591,6988.1
34.605,6987.1
34.627,6993.2
34.657,7006.3
34.668,7011.5
34.677,7014
34.685,7013.9
34.698,7008.6
34.708,7006
34.724,6996.9
34.744,6983.1
34.761,6963.6
34.774,6956.6
34.788,6956.5
34.798,6954.1
34.815,6954.1
34.831,6958.5
34.845,6966
34.867,6982.8
34.876,6986.5
34.894,6996.2
34.913,7007.2
34.925,7013
34.937,7013.3
34.954,7008.7
34.969,7009
34.991,6997.2
35.013,6992
35.028,6978.2
35.034,6973.3
35.045,6972.3
35.062,6966.9
35.076,6961.3
35.083,6942.9
35.089,6939.7
35.102,6917.2
35.109,6919.8
35.12,6926.8
35.136,6928.4
35.144,6911.4
35.164,6888
35.176,6867
35.194,6835.3
35.213,6830.6
35.226,6826.8
35.247,6797.3
35.261,6784
35.265,6794
35.274,6802.7
35.288,6805.7
35.295,6803.4
35.299,6795.4
35.316,6774.2
35.341,6741.9
35.364,6717.4
35.379,6689.4
35.389,6691.5
35.405,6699.1
35.422,6704.2
35.441,6668.7
35.453,6636.7
35.46,6623.5
35.469,6619.9
35.482,6631.8
35.491,6624.9
35.505,6619.9
35.515,6637
35.523,6630
35.543,6608.4
35.562,6584.6
35.571,6577.1
35.585,6582.3
35.603,6573.5
35.616,6573
35.625,6569.6
35.635,6568.6
35.654,6560.7
35.67,6543
35.674,6538
35.684,6545.3
35.698,6556.5
35.708,6559.4
35.72,6541.4
35.734,6517.9
35.743,6518.7
35.759,6524.6
35.775,6487.9
35.792,6474.3
35.81,6455.1
35.821,6444.7
35.833,6449.3
35.845,6449.6
35.867,6463.7
35.877,6475.8
35.882,6466
35.892,6457.9
35.901,6454.8
35.913,6436.6
35.922,6426.3
35.937,6407.7
35.957,6379.1
35.988,6340.1
36.002,6326.9
36.027,6318
36.051,6284.2
36.061,6272.7
36.084,6277.9
36.101,6235.6
36.114,6224.1
36.14,6229.7
36.156,6239.1
36.176,6229.8
36.198,6210.5
36.215,6196.5
36.227,6201.2
36.238,6176.1
36.251,6182.1
36.266,6192.2
36.293,6161.2
36.306,6158.5
36.319,6133.1
36.325,6115.7
36.332,6119.9
36.346,6123
36.353,6101.7
36.366,6094.4
36.387,6088.1
36.401,6048.2
36.419,6038.1
36.427,6025.7
36.433,6025
36.443,6032.6
36.466,6031.2
36.488,6003.3
36.506,5989.2
36.527,5957.6
36.553,5948.3
36.564,5953.4
36.575,5920.5
36.598,5891.3
36.624,5875
36.647,5867.2
36.655,5854.7
36.664,5854.4
36.686,5830.9
36.695,5824.1
36.71,5812.9
36.732,5804.4
36.756,5746.7
36.769,5748.1
36.785,5750.1
36.804,5744.1
36.819,5724.1
36.832,5715.5
36.853,5703.6
36.866,5685.7
36.891,5661.8
36.907,5660.4
36.937,5633.8
36.955,5612.4
36.969,5602.1
36.99,5556.4
37.005,5533.4
37.034,5529.7
37.062,5487.3
37.069,5485.2
37.084,5490.8
37.104,5484.8
37.125,5465.1
37.139,5462
37.157,5456.2
37.176,5424.3
37.188,5403
37.197,5402.8
37.213,5398
37.228,5387.4
37.236,5386.4
37.248,5366.8
37.255,5368.1
37.28,5375.5
37.299,5359.7
37.318,5352.2
37.325,5342.3
37.352,5323.6
37.371,5302.7
37.389,5286.6
37.4,5283.7
37.417,5270.1
37.45,5249.4
37.49,5220.3
37.52,5209.7
37.544,5198.4
37.575,5181.3
37.581,5180.5
37.592,5178.3
37.612,5171.4
37.627,5162.5
37.653,5138.2
37.674,5124.2
37.698,5108.9
37.723,5092.3
37.74,5078.8
37.755,5065.1
37.763,5056.1
37.78,5045.2
37.793,5038.7
37.81,5027.6
37.821,5016.4
37.835,5009.8
37.846,5003.3
37.855,4997.1
37.861,4993.8
37.869,4990.8
37.88,4991.8
37.889,4991.5
37.904,4991.8
37.921,4993.7
37.937,4995.9
37.941,4996.7
37.945,4998.4
37.952,5002.2
37.961,5007.1
37.968,5009.8
37.973,5011.9
37.979,5014.8
37.983,5016.6
37.989,5019.8
37.998,5025.8
38,5024.8
38.003,5022.5
38.009,5019.8
38.015,5022.4
38.028,5028.9
38.044,5035.8
38.057,5035.4
38.066,5034.1
38.073,5035.3
38.081,5035.7
38.092,5038.3
38.107,5041.7
38.125,5038.3
38.143,5033.5
38.152,5023.8
38.162,5018.3
38.182,5019.8
38.199,5012.5
38.22,5011.9
38.236,5008.5
38.243,5001.7
38.25,5000.4
38.261,4998
38.269,4998.4
38.284,4999.4
38.29,4999.7
38.299,5001.6
38.312,5002.7
38.315,5002.3
38.327,5002.5
38.334,5003.3
38.341,5002.7
38.355,5005.5
38.363,5005.6
38.367,5006.3
38.374,5009.5
38.391,5017.3
38.398,5017.9
38.408,5020.4
38.415,5025.7
38.42,5027.5
38.425,5028.2
38.43,5031.4
38.45,5033.7
38.462,5032.8
38.487,5034.2
38.498,5035.6
38.513,5039.5
38.532,5037.8
38.548,5040.4
38.58,5038
38.601,5038.2
38.62,5029.8
38.632,5024.2
38.644,5021.4
38.656,5031.7
38.668,5041.6
38.678,5050.3
38.692,5059.6
38.705,5059.6
38.719,5058.7
38.746,5058.9
38.773,5056.6
38.782,5057.5
38.806,5054.7
38.819,5056.4
38.836,5057.6
38.848,5057.1
38.874,5064
38.894,5068.3
38.922,5073.9
38.946,5077.5
38.965,5079.5
38.979,5081.2
39.013,5084.4
39.031,5089.6
39.062,5087.6
39.083,5085
39.106,5075
39.127,5077.7
39.148,5076.8
39.165,5081.7
39.185,5087.9
39.205,5095.9
39.225,5095
39.252,5098.2
39.272,5100.1
39.293,5099.9
39.31,5098.8
39.34,5100.9
39.37,5102.9
39.393,5104.6
39.42,5107
39.436,5109
39.469,5108.1
39.489,5108.5
39.519,5109.6
39.526,5109.3
39.535,5113.5
39.547,5123.7
39.57,5133
39.593,5147.8
39.616,5146
39.645,5135.9
39.662,5135.2
39.689,5144.9
39.72,5148.3
39.734,5147.9
39.755,5155.4
39.779,5162.9
39.795,5159.6
39.818,5154.5
39.828,5155.2
39.853,5158.3
39.865,5157
39.873,5153.6
39.888,5151.6
39.906,5146.7
39.919,5146.3
39.949,5150.2
39.975,5151.9
39.993,5153.9
40.018,5158.4
40.03,5163.9
40.047,5170.6
40.072,5171.3
40.092,5169.3
40.104,5168
40.12,5170.8
40.131,5175.7
40.154,5187.7
40.174,5189.4
40.193,5179.9
40.223,5182.8
40.246,5186.2
40.28,5190.9
40.295,5186.7
40.307,5193.7
40.316,5195.6
40.322,5196.1
40.335,5196
40.355,5194.4
40.376,5194.6
40.411,5203.2
40.421,5207.3
40.432,5211.7
40.445,5213.7
40.459,5212.2
40.47,5210.8
40.483,5211.8
40.504,5218.4
40.519,5222.9
40.536,5219.3
40.552,5216.8
40.558,5219.2
40.568,5223.5
40.579,5221.7
40.599,5222.9
40.616,5225.3
40.642,5246.4
40.653,5255.3
40.676,5252
40.696,5253.7
40.712,5251.1
40.733,5252.5
40.751,5251.3
40.762,5257.4
40.789,5263.7
40.812,5265.5
40.844,5261.4
40.864,5261.4
40.892,5263.6
40.915,5273.6
40.946,5284.7
40.962,5291
40.976,5288.6
40.998,5272.2
41.017,5272.3
41.036,5277.4
41.056,5279.2
41.07,5279.7
41.075,5279.9
41.082,5278.6
41.091,5273.3
41.104,5275.1
41.12,5275.7
41.158,5285.2
41.19,5295.8
41.225,5307.2
41.262,5311.1
41.288,5311.2
41.324,5317.2
41.347,5317.7
41.363,5304.1
41.375,5301.6
41.393,5303.1
41.412,5311.8
41.427,5322.1
41.449,5316.8
41.467,5314.4
41.481,5318.9
41.495,5323.5
41.509,5327.6
41.524,5323.5
41.538,5318.9
41.551,5314.4
41.57,5316.8
41.592,5322.1
41.607,5311.8
41.626,5303.1
41.643,5301.6
41.655,5304.1
41.671,5317.7
41.673,5318.1
41.708,5323.6
41.728,5331.2
41.739,5347.9
41.755,5359.3
41.768,5367.7
41.789,5359.2
41.803,5359.6
41.81,5367.5
41.829,5370
41.845,5382.1
41.855,5379.3
41.867,5386.6
41.882,5392
41.894,5399.9
41.903,5406.9
41.91,5408.2
41.915,5407.6
41.926,5399.7
41.937,5405.3
41.942,5405
41.952,5404.8
41.958,5409.2
41.975,5438.7
41.994,5451.9
42.012,5470.4
42.032,5476.3
42.044,5473
42.057,5484.8
42.082,5529.1
42.095,5552.1
42.11,5586.1
42.129,5635.4
42.139,5661.4
42.149,5634.7
42.161,5609.4
42.171,5586
42.186,5580.1
42.198,5574
42.211,5592.4
42.221,5573.6
42.241,5515
42.245,5507.1
42.257,5529.3
42.267,5551
42.275,5570
42.281,5576.6
42.295,5553.7
42.301,5540.2
42.31,5533
42.323,5538.1
42.336,5544.9
42.36,5559.2
42.384,5591.9
42.401,5604.9
42.411,5618
42.433,5632.3
42.446,5651.7
42.471,5667.8
42.491,5695.6
42.512,5706.6
42.542,5694.9
42.56,5708.9
42.574,5706.7
42.585,5702.4
42.599,5719.4
42.604,5722.4
42.61,5717.9
42.615,5730.2
42.63,5742.7
42.643,5762.4
42.659,5795.4
42.674,5827.6
42.689,5855.5
42.692,5871.9
42.717,5862.3
42.739,5857.6
42.757,5870.5
42.769,5887.1
42.776,5920.8
42.791,5972.4
42.801,6005
42.816,6041.1
42.837,6012.3
42.856,5995.8
42.866,5976.4
42.87,5961.2
42.876,5993.9
42.885,6030.6
42.898,6084.4
42.908,6105.2
42.926,6123.2
42.939,6144.1
42.949,6152.8
42.956,6167.1
42.972,6187.8
42.987,6186.3
42.997,6193.4
43.01,6210.7
43.021,6198.2
43.031,6216.1
43.039,6214.2
43.047,6211.3
43.058,6246.8
43.064,6262.5
43.081,6248.2
43.094,6291.8
43.098,6303.8
43.105,6283
43.108,6275.2
43.112,6290.9
43.123,6337
43.129,6361.9
43.136,6379.9
43.144,6370.4
43.153,6377.5
43.162,6399.1
43.176,6422.5
43.194,6424.5
43.203,6428
43.212,6425.1
43.215,6427.2
43.223,6442.6
43.231,6451.4
43.239,6468.8
43.256,6492.7
43.263,6496.9
43.279,6496.6
43.285,6500.1
43.298,6522.9
43.31,6553.4
43.319,6546.3
43.329,6536
43.341,6557
43.349,6564
43.359,6557.9
43.366,6553.6
43.372,6560.1
43.386,6582.8
43.403,6597.8
43.414,6600.3
43.418,6605.2
43.425,6592.1
43.432,6598.8
43.444,6611.1
43.454,6636.9
43.469,6652.9
43.484,6660.8
43.498,6667.8
43.512,6677.7
43.52,6688.5
43.537,6661.1
43.558,6697.6
43.58,6721.4
43.588,6714.7
43.593,6709.4
43.599,6726.9
43.614,6742.3
43.629,6721.7
43.641,6737.1
43.654,6774.7
43.669,6801.3
43.693,6821.6
43.706,6814.4
43.719,6793.6
43.729,6771.4
43.737,6753.8
43.748,6794.1
43.764,6836.5
43.774,6872.5
43.793,6927.7
43.808,6961.5
43.82,6971.6
43.826,6960.4
43.831,6949.3
43.836,6953.2
43.849,6974.5
43.865,6994.8
43.877,7008.7
43.885,6994.5
43.89,6978.2
43.901,7018.4
43.917,7034.7
43.93,7030.1
43.935,7030.6
43.947,7046.3
43.958,7057
43.969,7041.3
43.982,7068.7
43.991,7073
43.996,7060.7
43.999,7067.1
44.004,7085
44.006,7087.6
44.009,7080.6
44.013,7084.8
44.025,7082.3
44.03,7077.3
44.04,7103.2
44.047,7123.1
44.058,7130.7
44.071,7153
44.083,7169.3
44.096,7159.9
44.105,7152.4
44.114,7151.6
44.135,7150
44.154,7139
44.174,7151.9
44.185,7149.8
44.201,7144.6
44.204,7128.6
44.209,7116.3
44.217,7109.9
44.223,7104.5
44.231,7082.3
44.245,7073.5
44.26,7070.9
44.273,7077.4
44.285,7087.6
44.302,7107.8
44.316,7141.1
44.325,7164.7
44.335,7179.8
44.352,7218.1
44.363,7234
44.376,7245.2
44.394,7253.9
44.407,7254.8
44.424,7263.3
44.43,7253
44.438,7252.5
44.452,7263.1
44.464,7258.3
44.48,7296.4
44.489,7313.9
44.499,7315.7
44.514,7325
44.528,7323.3
44.536,7328.8
44.539,7327
44.552,7328.8
44.557,7334
44.575,7349.1
44.595,7365.9
44.627,7391.2
44.652,7408.2
44.67,7430.3
44.686,7434.3
44.698,7427.7
44.72,7425.4
44.737,7421.2
44.744,7416.6
44.751,7415.9
44.769,7434.9
44.784,7434
44.792,7439.3
44.802,7443.6
44.819,7448.5
44.829,7447.9
44.841,7456.5
44.853,7471.8
44.862,7483.3
44.881,7495.2
44.901,7505.9
44.921,7513.6
44.931,7525.4
44.936,7528
44.954,7533.8
44.971,7541.8
44.988,7546.4
45.015,7571.2
45.028,7583.3
45.043,7588.4
45.06,7582.8
45.076,7576.5
45.088,7583.9
45.111,7605.3
45.12,7607.7
45.14,7616.5
45.16,7615.8
45.179,7619.4
45.194,7623.2
45.204,7626.5
45.221,7636.8
45.244,7648.1
45.259,7658.2
45.272,7667.3
45.29,7683.3
45.307,7698.8
45.316,7702
45.327,7696.1
45.33,7694.3
45.354,7698.8
45.365,7699.8
45.381,7697.7
45.403,7692.8
45.404,7692.1
45.409,7685.3
45.416,7672.6
45.425,7671.4
45.444,7656.1
45.46,7651.7
45.468,7651.2
45.481,7654.3
45.492,7650.4
45.499,7650.7
45.505,7650.1
45.508,7642.9
45.518,7641.7
45.528,7641.6
45.54,7646.4
45.554,7643.3
45.573,7638
45.58,7638.3
45.59,7641.1
45.599,7641.6
45.61,7640.6
45.626,7646.4
45.647,7662.2
45.658,7673.8
45.669,7682.9
45.685,7687.2
45.706,7694.5
45.732,7692
45.761,7670.1
45.778,7657.7
45.799,7646.1
45.824,7626.7
45.844,7611
45.87,7600.1
45.894,7577.4
45.917,7553
45.923,7549.2
45.937,7548.8
45.956,7536.2
45.966,7533.8
45.981,7534.8
46,7528.3
46.014,7529.1
46.025,7535.9
46.046,7532.4
46.075,7518.7
46.096,7510.3
46.12,7511.3
46.135,7507
46.149,7499.4
46.162,7501.5
46.183,7494.6
46.197,7496.9
46.215,7497
46.233,7497.4
46.25,7496.6
46.264,7479.2
46.294,7461.3
46.308,7464.3
46.33,7454.5
46.349,7444.1
46.382,7435.8
46.404,7435.7
46.423,7447.3
46.434,7447.5
46.442,7446.6
46.456,7444
46.477,7452
46.488,7464.1
46.507,7481.9
46.529,7482.6
46.552,7487.7
46.567,7495.7
46.579,7510.3
46.589,7522
46.595,7527
46.602,7523.9
46.614,7528.2
46.624,7530.8
46.635,7531.4
46.646,7541.7
46.672,7571.5
46.691,7584.6
46.697,7586.8
46.714,7591.4
46.728,7600.7
46.745,7624
46.766,7641.1
46.791,7648.4
46.809,7644.5
46.825,7643.8
46.85,7666.4
46.872,7681.2
46.9,7695.6
46.921,7702.8
46.949,7722.6
46.974,7728.5
46.986,7727
47.013,7691.4
47.04,7643.8
47.059,7613.4
47.091,7680.6
47.154,7792.4
47.221,7841.3
47.26,7835
47.301,7834.3
47.322,7840.4
47.341,7865.2
47.431,7757.8
47.459,7738.7
47.5,7742.8
47.532,7741.9
47.561,7734.7
47.587,7713.3
47.608,7695.6
47.625,7698.3
