distance (miles),elevation (ft)
15.60845427,6315.945084
15.62338582,6291.109125
15.63810609,6261.778416
15.70481027,6129.396522
15.73631999,6088.714106
15.75148766,6071.325654
15.77662833,6032.086807
15.84667548,5839.763966
15.87409037,5778.510684
15.94198137,5818.274464
15.95839799,5850.623547
16.01320913,5983.563184
16.03048945,6019.816466
16.04735346,6033.694419
16.06386329,6019.32434
16.0805906,5995.899142
16.09859793,5955.315151
16.1587715,5740.584173
16.17868644,5705.052676
16.19382303,5700.689159
16.28204529,5775.91882
16.31318219,5847.966066
16.38798283,6002.395205
16.41083686,5982.677357
16.42922944,5975.033
16.45710414,5985.367646
16.56041328,5983.038249
16.58656679,5970.997566
16.60318225,5964.698354
16.62440207,5959.055309
16.65662637,5967.191792
16.68717297,5990.584181
16.70971631,6003.510691
16.73317928,6016.896518
16.76421054,6041.0435
16.86327572,6074.147176
16.87900262,6063.320404
16.89405223,6045.800718
16.90995311,6022.441138
16.97596757,5942.716726
16.99081833,5939.96082
17.00515336,5948.228537
17.02047637,5968.405703
17.07630656,6037.861086
17.10181384,6052.657674
17.11868406,6058.563186
17.21016851,6133.661614
17.26397924,6122.834842
17.29956516,6130.118306
17.35323918,6125.623556
17.36954396,6121.095996
17.40179311,6093.504132
17.41754487,6087.565812
17.43330905,6082.152426
17.48490148,6069.094682
17.50236822,6044.553999
17.52063032,6015.124864
17.53766831,5994.488381
17.55564457,5971.784968
17.59269071,5945.111739
17.61184137,5917.388641
17.68941954,5740.682598
17.71862397,5711.056613
17.85146066,5537.401752
17.86667183,5534.97393
17.88166551,5558.825637
17.90113928,5631.332201
17.92111014,5710.761338
17.94023594,5784.088112
17.96302783,5860.826959
18.01292392,5984.284968
18.0440049,6032.053999
18.25231952,5910.137984
18.27276263,5908.825648
18.29085695,5913.943759
18.30880215,5922.73641
18.3631659,5975.754784
18.3796198,5984.908328
18.39627254,5986.319089
18.41327947,5980.938512
18.54131918,5879.429322
18.57292832,5865.51856
18.59097915,5855.151106
18.65679476,5776.378138
18.6708626,5764.599922
18.68465082,5790.223282
18.69868138,5815.48575
18.71306612,5837.303336
18.727426,5846.883389
18.84932035,5890.518561
18.86594203,5881.889952
18.91607424,5873.983128
18.93262135,5877.395201
18.94843524,5887.926698
18.98134926,5898.392577
18.99703267,5898.195727
19.01198907,5892.979191
19.02760412,5891.010687
19.09532113,5939.074993
19.11273195,5935.137985
19.1274833,5921.391266
19.1431232,5902.165543
19.15765086,5885.236409
19.25011086,5721.916194
19.2680312,5696.260025
19.3228237,5716.010682
19.34156425,5727.756089
19.35927953,5735.466063
19.44278558,5556.791516
19.47801732,5502.395189
19.69749798,5792.290212
19.71822692,5795.80071
19.73965179,5803.773152
19.75201086,5808.300711
19.7663521,5812.697036
19.86512524,5797.802023
19.88125603,5788.451629
19.88855092,5783.136668
19.90629107,5769.685224
19.91605902,5764.63273
19.94454888,5758.49756
19.97292689,5753.609108
20.00134219,5756.23378
20.01937437,5761.97525
20.03147868,5767.421444
20.09084447,5762.303334
20.14960752,5740.64979
20.16816166,5735.269212
20.17907915,5728.510682
20.19929856,5713.025117
20.2406073,5686.909631
20.26482835,5656.660286
20.34010123,5443.143219
20.36449004,5393.274451
20.38648657,5379.593348
20.55043531,5585.170782
20.56926907,5608.103854
20.58576647,5629.790206
20.60241921,5631.75871
20.69231295,5625.984432
20.71649671,5616.502804
20.73943773,5604.101229
20.75049192,5598.917502
20.76839362,5590.059234
20.78095153,5585.400441
20.79439178,5583.038236
20.80671357,5582.939811
20.89396648,5573.5238
20.90216858,5569.882068
20.91376958,5561.745585
20.92930385,5551.476556
20.9401592,5548.687842
20.95617193,5548.786267
20.96342955,5549.475243
20.97447752,5550.754771
21.05448525,5564.206215
21.07216326,5559.088104
21.08098673,5552.690466
21.09000282,5544.6196
21.10843268,5525.295452
21.12212149,5511.975242
21.14012261,5498.49099
21.16062163,5492.421436
21.20229077,5505.643221
21.21047423,5506.791515
21.22003713,5503.543483
21.22910293,5494.553982
21.24387292,5476.73902
21.26985244,5451.279702
21.29028312,5443.602536
21.31534923,5437.139282
21.42610239,5441.732458
21.45781096,5450.623534
21.46814436,5447.506736
21.4782727,5439.927996
21.5041963,5415.84663
21.5122182,5407.414871
21.5281253,5390.452928
21.56978822,5392.88075
21.62745767,5372.506734
21.63497004,5371.030356
21.67228958,5373.884686
21.72282569,5382.546104
21.74402065,5384.613033
21.85299049,5484.514611
21.90997021,5447.802012
21.97147972,5448.917497
22.02865828,5263.156336
22.04767845,5211.286256
22.07155773,5175.951609
22.09957535,5163.910926
22.13920018,5156.791504
22.26254233,5202.756072
22.27910808,5202.460796
22.28571325,5211.253448
22.30411205,5235.334813
22.31348853,5243.766572
22.33119761,5269.22589
22.39321665,5228.543474
22.41157816,5214.731138
22.53756734,5157.972606
22.62792711,5185.958171
22.64979937,5168.76657
22.72282911,5110.564468
22.74650956,5108.792814
22.77432834,5120.078904
22.83042571,5172.04741
22.91418652,5148.294128
22.94860426,5138.910926
22.97148935,5152.55922
23.03326606,5170.833499
23.05379616,5139.43586
23.06266933,5121.260006
23.07405285,5101.870242
23.14524333,5209.481794
23.16910397,5212.2377
23.2201496,5113.287565
23.23531105,5068.208824
23.25578523,5002.65764
23.30796796,4862.664198
23.32168784,4839.074958
23.33841514,4828.969971
23.35388107,4849.573646
23.36628985,4879.42929
23.42141167,5010.794124
23.48650028,5087.106462
23.50859002,5040.682576
23.57718316,4913.451601
23.60164654,4904.626141
23.63263431,4912.697008
23.6627211,4914.206194
23.68536385,4881.332177
23.69764215,4871.653699
23.70867769,4873.950287
23.7373229,4902.559212
23.76649627,4980.151078
23.77694773,4988.878112
23.79724792,4952.296746
23.80604653,4926.246877
23.82471873,4876.476534
24.05247606,4740.945034
24.0979107,4733.103826
24.14378031,4719.750807
24.17253115,4711.745558
24.19166316,4705.708812
24.2035127,4703.248182
24.23574943,4702.756056
24.43716063,4668.569703
24.98116472,4636.187812
25.01000255,4633.497524
25.04269909,4626.050017
25.07327676,4615.387287
26.22503141,4492.585446
26.23333914,4491.174684
26.25841767,4488.025078
26.27323115,4486.712742
26.28726171,4486.5487
26.31419814,4488.845288
26.32702946,4490.223241
26.33900949,4491.174684
26.36367792,4488.254737
26.388191,4483.399094
26.40612998,4479.527702
26.48623713,4475.426652
26.50402077,4479.134002
26.51900824,4482.152374
26.53936435,4484.28492
26.55623458,4482.349225
